PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD
Aaron Gordon,ORL,23,78,40,38,33.8,2.2,2.1,1.9,7.5,10.4,7.4,8.1,33.5,0.7,0.7,2.2,3.4
Aaron Holiday,IND,22,50,31,19,12.9,1.0,0.3,0.9,1.7,3.9,3.6,3.5,12.0,0.3,0.2,1.4,1.2
Abdel Nader,OKC,25,61,38,23,11.4,0.8,0.5,0.7,1.9,3.7,3.5,3.3,11.4,0.2,0.1,1.1,0.6
Al Horford,BOS,33,68,41,27,29.0,1.6,1.6,0.7,6.5,8.2,8.5,8.0,27.8,1.3,0.4,1.9,1.8
Al-Farouq Aminu,POR,28,81,52,29,28.3,1.5,1.6,1.3,3.8,8.2,7.9,7.9,28.2,0.4,0.4,1.8,1.8
Alan Williams,BKN,26,5,1,4,5.1,0.0,1.6,0.0,2.8,1.0,1.4,1.8,5.2,0.0,0.0,0.4,0.6
Alec Burks,SAC,27,64,19,45,21.5,1.0,1.2,0.6,3.4,7.8,5.6,5.9,24.1,0.3,0.6,1.4,1.9
Alex Abrines,OKC,25,31,21,10,19.0,0.4,0.6,0.6,0.6,6.6,5.2,5.3,19.4,0.2,0.2,1.7,1.0
Alex Caruso,LAL,25,25,8,17,21.2,2.1,1.0,1.1,3.8,8.2,6.3,6.6,19.5,0.4,0.7,2.2,2.3
Alex Len,ATL,26,77,28,49,20.1,1.4,2.1,0.8,6.2,8.4,5.8,7.4,19.5,0.9,0.6,2.6,2.0
Alex Poythress,ATL,25,21,7,14,14.5,0.6,1.1,0.4,3.0,7.1,5.3,4.5,15.4,0.5,0.3,2.2,1.3
Alfonzo McKinnie,GSW,26,72,53,19,13.9,0.6,0.9,0.9,2.4,4.9,3.8,4.6,14.2,0.2,0.3,1.9,0.7
Alize Johnson,IND,23,14,9,5,4.6,0.1,0.5,0.0,0.4,1.3,2.7,2.4,5.0,0.2,0.1,0.5,0.3
Allen Crabbe,BKN,27,43,19,24,26.4,1.1,0.8,1.4,1.3,9.7,8.7,5.9,26.3,0.3,0.2,2.4,0.9
Allonzo Trier,NYK,23,64,13,51,22.8,1.7,0.9,1.5,4.2,8.3,7.4,5.6,24.5,0.2,1.0,1.8,2.8
Amile Jefferson,ORL,26,12,9,3,5.7,0.5,0.7,0.3,1.7,0.5,0.9,1.9,5.8,0.3,0.1,0.7,0.3
Amir Johnson,PHI,32,51,32,19,10.4,0.5,0.8,0.3,2.5,4.1,2.5,3.0,11.5,0.3,0.1,1.9,0.9
Andre Drummond,DET,25,79,40,39,33.5,3.1,5.5,1.2,13.8,10.9,8.1,8.6,34.4,1.7,1.1,3.4,4.1
Andre Iguodala,GSW,35,68,47,21,23.2,1.2,0.4,1.2,2.8,7.8,6.1,6.5,21.6,0.8,0.1,1.4,1.2
Andre Ingram,LAL,33,4,1,3,3.7,0.0,0.0,0.0,0.0,0.5,1.0,0.5,2.5,0.0,0.0,0.0,0.3
Andrew Bogut,GSW,34,11,8,3,12.2,0.2,0.9,0.0,3.1,4.1,2.7,4.5,10.5,0.7,0.1,2.0,0.7
Andrew Harrison,NOP,24,17,6,11,10.9,0.8,0.2,0.3,1.2,4.9,2.2,2.9,9.5,0.1,0.1,2.0,1.1
Andrew Wiggins,MIN,24,73,31,42,34.8,2.4,1.7,1.9,7.4,11.1,11.1,9.8,35.4,0.7,1.2,2.1,3.1
Anfernee Simons,POR,20,20,17,3,7.0,0.5,0.3,0.5,1.2,4.1,2.5,2.4,7.9,0.0,0.2,0.5,0.5
Angel Delgado,LAC,24,2,0,2,7.4,0.0,0.5,0.0,1.0,1.0,0.0,2.0,8.0,0.0,1.0,1.0,0.5
Ante Zizic,CLE,22,59,13,46,18.3,1.0,2.4,0.4,5.7,6.2,4.5,5.8,18.8,0.4,0.6,1.9,2.1
Anthony Davis,NOP,26,56,25,31,33.0,4.4,4.8,2.8,14.3,11.7,8.7,10.6,33.8,2.4,0.7,2.4,6.6
Anthony Tolliver,MIN,34,65,27,38,16.6,0.8,0.5,0.7,0.4,4.7,5.2,3.8,16.2,0.3,0.1,1.4,0.8
Antonio Blakeney,CHI,22,57,14,43,14.5,0.9,0.4,0.8,3.2,4.6,3.8,4.0,14.9,0.2,0.5,0.7,0.9
Aron Baynes,BOS,32,51,32,19,16.1,0.7,1.5,0.2,3.0,5.4,4.1,4.3,15.3,0.7,0.2,2.5,1.9
Austin Rivers,HOU,26,76,45,31,26.7,1.8,0.5,0.9,3.3,8.8,7.7,8.3,28.2,0.3,0.3,2.7,1.4
Avery Bradley,MEM,28,63,31,32,30.2,1.5,1.0,1.2,2.4,11.3,8.5,10.5,31.5,0.3,0.8,2.7,1.1
BJ Johnson,SAC,23,7,2,5,7.1,0.9,0.0,1.3,0.9,2.9,1.9,1.1,9.7,0.0,0.3,0.6,0.3
Bam Adebayo,MIA,21,82,39,43,23.3,1.5,2.0,0.9,6.4,8.3,6.2,5.5,20.3,0.8,0.4,2.5,2.8
Ben McLemore,SAC,26,19,7,12,8.3,0.6,0.2,1.0,0.4,2.9,2.6,2.9,8.9,0.2,0.2,1.2,0.4
Ben Simmons,PHI,22,79,50,29,34.2,2.4,2.2,3.3,13.3,13.4,8.7,11.1,37.6,0.8,0.7,2.6,4.7
Billy Garrett,NYK,24,4,1,3,15.9,0.0,0.0,0.0,4.0,4.0,3.3,2.5,13.5,0.3,0.0,0.8,1.0
Bismack Biyombo,CHA,26,54,24,30,14.5,0.5,1.1,0.1,3.1,3.9,4.0,4.4,14.4,0.8,0.4,1.9,1.5
Blake Griffin,DET,30,75,39,36,35.0,3.2,2.0,1.3,10.7,11.7,7.8,9.2,35.6,0.4,1.0,2.7,7.6
Boban Marjanovic,PHI,30,58,31,27,11.7,1.2,2.3,0.3,5.0,4.5,3.4,4.2,11.3,0.5,0.3,1.6,1.6
Bobby Portis,WAS,24,50,14,36,26.0,2.2,2.3,1.3,6.7,8.2,7.3,6.4,28.2,0.4,0.6,2.9,1.8
Bogdan Bogdanovic,SAC,26,70,32,38,27.8,1.9,1.2,1.7,4.8,9.8,8.4,7.2,27.9,0.2,0.6,2.0,2.6
Bojan Bogdanovic,IND,30,81,47,34,31.8,3.8,1.6,3.3,7.2,10.0,9.3,8.9,30.0,0.0,1.1,1.7,2.9
Bonzie Colson,MIL,23,8,6,2,12.3,0.4,1.0,1.1,1.8,4.4,3.6,5.0,13.0,0.1,0.4,0.4,0.8
Brad Wanamaker,BOS,29,36,27,9,9.5,0.8,0.3,1.3,1.4,2.9,2.9,2.3,8.7,0.1,0.1,0.9,0.6
Bradley Beal,WAS,26,82,32,50,36.9,3.6,1.8,3.5,10.0,12.9,10.8,10.6,40.1,0.7,0.8,2.8,4.4
Brandon Goodwin,DEN,23,16,10,6,3.6,0.7,0.1,0.3,0.5,0.9,1.0,0.4,3.6,0.0,0.0,0.4,0.6
Brandon Ingram,LAL,21,52,25,27,33.9,2.1,1.4,3.2,10.0,13.1,9.9,12.5,36.2,0.6,1.0,2.9,5.1
Brandon Knight,CLE,27,39,17,22,18.9,1.1,0.2,0.7,1.6,6.4,5.1,6.5,20.1,0.1,0.4,1.6,1.3
Brandon Sampson,CHI,22,14,3,11,15.3,0.9,0.4,0.8,2.4,4.6,2.9,3.9,15.9,0.2,0.1,1.4,0.4
Brook Lopez,MIL,31,81,60,21,28.7,1.0,0.9,0.9,3.8,8.6,7.4,6.1,24.8,2.2,0.2,2.3,1.6
Bruce Brown,DET,22,74,35,39,19.6,0.9,0.5,0.6,2.7,6.9,4.4,5.2,20.1,0.5,0.5,2.4,0.7
Bruno Caboclo,MEM,23,34,14,20,23.5,1.3,1.4,0.5,2.6,7.5,5.9,8.0,20.6,1.0,0.4,2.4,1.1
Bryn Forbes,SAS,25,82,48,34,28.0,1.6,0.9,1.8,2.5,8.6,7.0,8.0,26.4,0.0,0.4,1.9,1.0
Buddy Hield,SAC,26,82,39,43,31.9,3.6,2.1,5.0,5.4,10.5,10.0,9.6,34.1,0.4,0.7,2.5,1.8
C.J. Williams,MIN,29,15,4,11,8.5,0.4,0.2,0.3,0.9,1.8,3.1,1.8,8.8,0.0,0.1,1.1,0.2
CJ McCollum,POR,27,70,43,27,33.9,2.5,1.8,2.7,7.0,10.4,9.9,9.7,34.1,0.4,0.9,2.5,2.4
CJ Miles,MEM,32,53,33,20,16.2,0.7,0.3,0.9,1.2,4.9,4.4,5.6,15.6,0.3,0.3,1.5,0.9
Caleb Swanigan,SAC,22,21,10,11,8.5,0.3,0.5,0.2,1.5,3.5,2.1,2.8,8.6,0.0,0.3,1.3,0.7
Cameron Payne,CLE,24,40,7,33,17.8,1.0,0.6,0.6,2.8,6.2,5.0,4.9,17.3,0.2,0.2,1.6,1.1
Cameron Reynolds,MIN,24,19,6,13,13.7,1.1,0.3,0.4,0.8,3.7,4.5,3.3,12.8,0.1,0.2,1.4,0.4
Caris LeVert,BKN,24,40,19,21,26.6,2.4,1.2,1.2,7.8,8.7,8.6,7.4,26.7,0.4,0.7,1.9,2.8
Carmelo Anthony,HOU,35,10,4,6,29.4,0.9,1.2,1.1,3.2,9.3,8.5,7.0,31.2,0.7,0.4,3.2,2.1
Cedi Osman,CLE,24,76,17,59,32.2,1.6,1.2,1.8,5.0,11.2,8.9,9.8,34.1,0.1,0.6,2.6,2.2
Chandler Hutchison,CHI,23,44,10,34,20.3,1.1,0.6,1.4,3.4,6.4,4.9,5.7,20.2,0.1,0.3,1.3,1.0
Chandler Parsons,MEM,30,25,11,14,19.8,0.5,0.5,1.2,2.3,5.8,5.4,7.9,18.9,0.2,0.3,1.8,1.1
Channing Frye,CLE,36,36,7,29,9.5,0.2,0.4,0.0,0.3,2.8,2.7,2.9,9.5,0.1,0.1,1.2,0.4
Chasson Randle,WAS,26,49,19,30,15.2,1.1,0.6,0.6,1.7,5.4,4.3,4.7,16.7,0.1,0.3,1.9,1.1
Cheick Diallo,NOP,22,64,27,37,14.0,0.8,1.1,0.7,4.3,5.8,4.1,4.3,14.7,0.5,0.3,1.8,1.0
Chimezie Metu,SAS,22,29,14,15,5.0,0.7,0.2,0.3,1.2,2.5,1.2,1.4,5.2,0.1,0.1,0.5,0.4
Chris Boucher,TOR,26,28,21,7,5.8,0.3,1.1,0.4,1.6,2.1,2.3,2.3,6.2,0.9,0.3,1.1,0.5
Chris Chiozza,HOU,23,7,6,1,4.6,0.4,0.0,0.0,0.0,0.9,1.4,2.1,7.4,0.1,0.1,0.3,0.1
Chris Paul,HOU,34,58,39,19,32.0,2.7,1.6,1.1,3.8,10.5,8.3,8.3,33.2,0.3,0.3,2.5,3.2
Christian Wood,NOP,23,21,13,8,11.9,1.1,1.3,1.1,4.6,5.1,3.6,5.2,13.0,0.5,0.2,0.8,1.7
Clint Capela,HOU,25,67,44,23,33.6,2.0,3.5,2.4,14.1,11.4,9.1,10.0,35.5,1.5,0.9,2.5,3.3
Cody Zeller,CHA,26,49,22,27,25.4,1.8,1.6,0.7,7.4,7.3,7.5,6.5,24.8,0.8,0.9,3.3,3.1
Collin Sexton,CLE,20,82,19,63,31.8,2.3,1.2,2.5,6.2,11.0,8.5,10.0,33.5,0.1,1.2,2.3,3.1
Corey Brewer,SAC,33,31,13,18,15.9,0.8,0.4,1.2,2.5,5.3,3.7,4.8,15.2,0.2,0.3,2.0,1.1
Cory Joseph,IND,27,82,48,34,25.2,1.1,0.6,0.7,2.4,7.1,6.4,6.9,23.4,0.3,0.3,1.6,1.1
Courtney Lee,DAL,33,34,6,28,12.6,0.6,0.1,0.5,1.1,2.9,3.2,4.0,12.9,0.1,0.1,0.9,0.6
Cristiano Felicio,CHI,26,60,16,44,12.4,0.5,1.1,0.3,3.0,4.0,3.2,3.4,13.6,0.1,0.4,1.2,1.1
D'Angelo Russell,BKN,23,81,42,39,30.2,3.0,1.6,2.4,7.2,11.1,9.9,7.7,32.7,0.2,0.5,1.7,2.3
D.J. Augustin,ORL,31,81,42,39,28.0,1.7,0.8,1.3,3.8,8.5,6.2,7.8,28.2,0.0,0.5,1.4,2.5
D.J. Wilson,MIL,23,48,37,11,18.4,1.1,1.0,0.5,2.0,5.8,4.3,5.8,16.0,0.4,0.2,1.8,0.9
DJ Stephens,MEM,28,1,0,1,6.7,0.0,0.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0
Dairis Bertans,NOP,29,12,3,9,13.9,0.0,0.0,0.3,0.0,6.3,4.8,4.2,13.2,0.0,0.2,0.6,0.6
Damian Jones,GSW,24,24,15,9,17.1,0.5,0.8,0.3,4.3,6.6,5.2,4.7,17.5,1.0,0.5,2.6,1.5
Damian Lillard,POR,28,80,51,29,35.5,3.5,1.8,2.6,7.8,10.6,9.9,10.2,35.5,0.4,1.1,1.9,4.9
Damion Lee,GSW,26,32,18,14,11.7,0.7,0.5,0.9,1.1,4.8,4.1,4.4,12.0,0.0,0.3,0.9,0.8
Damyean Dotson,NYK,25,73,12,61,27.4,1.5,1.1,1.4,2.3,9.9,8.3,6.9,28.2,0.1,0.2,1.8,1.2
Daniel Hamilton,ATL,23,19,7,12,10.7,0.2,0.5,0.4,1.5,3.8,2.8,3.5,10.7,0.1,0.3,1.0,0.6
Daniel Theis,BOS,27,66,38,28,13.8,0.7,1.4,0.2,3.3,4.5,3.7,3.3,12.5,0.6,0.2,2.4,1.1
Danilo Gallinari,LAC,30,68,40,28,30.3,2.9,1.7,1.5,5.2,10.6,8.0,9.4,32.7,0.3,0.6,1.9,4.9
Danny Green,TOR,32,80,56,24,27.7,1.5,1.1,2.2,1.7,8.2,6.9,7.4,26.1,0.7,0.2,2.1,0.8
Dante Cunningham,SAS,32,64,36,28,14.5,0.3,0.7,0.2,1.3,4.8,3.8,4.5,14.8,0.2,0.1,1.1,0.3
Dante Exum,UTA,23,42,21,21,15.8,1.3,0.5,0.7,3.9,6.1,3.3,3.5,15.4,0.1,0.5,1.6,1.8
Danuel House Jr.,HOU,26,39,27,12,25.1,1.6,1.4,1.6,2.2,8.1,7.8,7.5,27.3,0.3,0.2,2.1,1.1
Dario Saric,MIN,25,81,39,42,25.0,1.4,1.7,1.1,4.0,8.5,6.9,7.2,25.6,0.1,0.5,2.2,1.9
Darius Miller,NOP,29,69,31,38,25.5,1.1,0.5,0.9,0.7,9.1,7.4,7.6,26.8,0.3,0.2,2.4,0.9
Darren Collison,IND,31,76,45,31,28.2,2.4,1.0,2.0,3.2,9.2,8.4,8.4,26.4,0.1,0.4,1.8,2.1
Daryl Macon,DAL,23,8,4,4,11.2,0.3,0.0,0.3,0.8,2.4,1.9,4.0,9.8,0.0,0.5,1.0,0.5
David Nwaba,CLE,26,51,14,37,19.3,1.1,0.9,1.4,4.0,6.3,5.1,5.4,18.9,0.3,0.5,2.1,1.4
Davis Bertans,SAS,26,76,44,32,21.5,0.9,0.5,1.1,1.0,6.7,4.9,6.4,20.2,0.4,0.1,1.8,0.9
Davon Reed,IND,24,10,4,6,4.7,0.2,0.4,0.5,0.6,1.0,1.7,1.4,3.6,0.0,0.0,0.3,0.1
De'Aaron Fox,SAC,21,81,39,42,31.4,4.0,0.8,4.3,8.3,10.6,9.4,9.8,34.4,0.6,1.0,2.5,4.6
De'Anthony Melton,PHX,21,50,13,37,19.7,0.9,0.4,0.9,2.6,7.8,5.9,5.2,20.6,0.5,0.2,2.3,1.0
DeAndre Jordan,NYK,30,69,25,44,29.7,1.3,3.0,0.9,8.3,11.8,7.8,11.2,29.3,1.1,0.4,2.4,3.6
DeAndre' Bembry,ATL,24,82,29,53,23.6,1.6,1.0,1.6,5.4,10.6,7.2,7.4,23.3,0.5,0.5,2.3,1.6
DeMar DeRozan,SAS,29,77,44,33,34.9,2.5,1.4,1.4,10.4,10.2,9.2,10.1,33.5,0.5,1.3,2.3,4.9
DeMarcus Cousins,GSW,28,30,23,7,25.7,2.3,2.0,1.9,9.5,9.7,8.0,8.5,25.3,1.5,1.1,3.6,5.8
DeMarre Carroll,BKN,32,67,36,31,25.4,1.7,1.4,2.0,3.2,8.4,6.7,5.8,26.4,0.1,0.5,1.7,2.4
DeVaughn Akoon-Purcell,DEN,26,7,7,0,3.1,0.0,0.0,0.0,0.9,0.4,1.0,1.6,3.1,0.0,0.1,0.6,0.1
Deandre Ayton,PHX,20,71,17,54,30.7,2.3,3.3,0.9,11.8,12.6,8.8,10.8,35.0,0.9,0.6,2.9,2.8
Delon Wright,MEM,27,75,45,30,22.6,1.5,1.0,1.7,4.9,7.2,6.0,7.8,22.6,0.4,0.5,1.4,1.8
Demetrius Jackson,PHI,24,6,5,1,6.6,0.8,0.3,1.5,1.3,2.5,2.3,2.8,6.3,0.0,0.2,0.7,0.7
Deng Adel,CLE,22,19,4,15,10.2,0.3,0.1,0.0,0.3,3.1,1.9,2.7,10.5,0.2,0.1,0.7,0.4
Dennis Schroder,OKC,25,79,47,32,29.3,2.2,1.0,2.5,5.9,10.0,7.6,7.7,29.3,0.2,1.0,2.4,2.8
Dennis Smith Jr.,NYK,21,53,21,32,28.5,2.5,1.2,2.4,6.5,10.4,7.3,8.5,27.1,0.4,1.0,2.4,2.2
Deonte Burton,OKC,25,32,21,11,7.5,0.6,0.1,0.3,1.4,2.2,1.8,2.1,6.8,0.3,0.2,1.0,0.6
Derrick Favors,UTA,27,76,46,30,23.2,1.5,2.7,0.4,8.6,8.1,5.0,5.4,23.9,1.4,0.5,2.1,2.3
Derrick Jones Jr.,MIA,22,60,31,29,19.2,1.7,1.8,1.1,4.3,6.2,5.7,4.5,16.5,0.7,0.4,2.1,1.7
Derrick Rose,MIN,30,51,24,27,27.3,2.2,1.3,2.1,8.3,8.6,10.3,7.0,26.6,0.2,1.0,1.1,2.4
Derrick White,SAS,24,67,41,26,25.8,1.4,0.6,1.2,4.8,7.0,6.8,6.5,23.2,0.7,0.5,2.2,2.1
Devin Booker,PHX,22,64,15,49,35.0,3.7,1.6,4.3,10.0,14.4,11.4,11.3,39.7,0.2,1.2,3.1,6.1
Devin Harris,DAL,36,68,28,40,15.7,0.7,0.8,0.9,1.8,4.5,4.6,4.8,15.9,0.2,0.3,2.0,1.9
Devin Robinson,WAS,24,7,1,6,13.5,0.3,0.9,0.6,4.6,4.0,2.6,4.1,10.9,0.9,0.0,1.6,1.7
Devonte' Graham,CHA,24,46,18,28,14.7,0.3,0.5,0.8,1.3,4.0,4.0,4.1,15.3,0.0,0.3,1.0,1.1
Dewayne Dedmon,ATL,29,64,24,40,25.1,1.3,1.7,0.8,5.0,11.2,6.9,8.3,25.8,1.1,0.4,3.3,1.6
Deyonta Davis,ATL,22,9,3,6,13.2,0.7,1.2,0.4,3.1,3.2,5.1,2.9,12.2,0.6,0.0,1.3,0.7
Dillon Brooks,MEM,23,18,9,9,18.3,1.9,0.4,0.7,3.0,6.3,4.3,4.3,14.7,0.2,0.7,2.8,1.3
Dion Waiters,MIA,27,44,20,24,25.9,1.2,0.9,0.9,3.2,8.5,7.1,7.1,22.0,0.2,0.5,1.6,1.0
Dirk Nowitzki,DAL,41,51,17,34,15.6,0.6,1.0,0.3,0.6,4.4,4.4,5.0,15.1,0.4,0.0,1.5,0.8
Domantas Sabonis,IND,23,74,43,31,24.8,2.1,3.0,0.7,9.6,7.4,5.7,7.0,22.8,0.4,0.4,3.2,3.9
Donatas Motiejunas,SAS,28,3,3,0,4.3,0.0,0.0,0.0,2.0,3.0,2.7,0.0,3.3,0.3,0.3,2.0,0.3
Donovan Mitchell,UTA,22,77,49,28,33.7,3.3,1.6,2.3,10.1,11.8,7.4,8.1,32.7,0.4,1.2,2.7,3.8
Donte DiVincenzo,MIL,22,27,20,7,15.2,0.8,0.6,1.4,2.0,4.0,3.7,3.0,12.8,0.2,0.1,1.4,0.9
Donte Grantham,OKC,24,3,2,1,0.8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorian Finney-Smith,DAL,26,81,33,48,24.5,1.1,1.5,1.3,3.5,8.1,6.7,8.0,24.0,0.4,0.4,2.3,1.1
Doug McDermott,IND,27,77,43,34,17.4,0.8,0.7,0.9,2.5,5.8,4.2,5.3,16.6,0.1,0.3,1.4,0.7
Dragan Bender,PHX,21,46,9,37,18.0,0.9,1.1,0.6,2.9,7.1,6.2,5.5,19.9,0.5,0.1,2.0,1.2
Draymond Green,GSW,29,66,48,18,31.3,1.0,0.7,1.4,3.9,11.0,8.8,8.8,29.2,1.1,0.3,3.0,1.9
Drew Eubanks,SAS,22,23,13,10,4.9,0.1,0.1,0.0,1.2,2.7,1.5,2.3,4.4,0.2,0.0,0.5,0.4
Duncan Robinson,MIA,25,15,7,8,10.7,0.7,0.5,0.8,0.8,3.5,4.4,2.5,10.3,0.0,0.1,0.7,0.3
Dusty Hannahs,MEM,25,2,0,2,13.0,1.0,0.0,1.0,3.0,2.0,4.5,5.5,17.0,0.0,0.5,0.5,0.5
Dwayne Bacon,CHA,23,43,20,23,17.6,1.0,0.5,1.2,3.6,4.6,4.7,4.1,17.5,0.1,0.3,1.7,1.0
Dwight Howard,WAS,33,9,4,5,25.5,2.3,2.8,0.9,8.7,12.4,6.7,8.3,24.2,0.4,0.9,3.8,5.3
Dwight Powell,DAL,27,77,31,46,21.6,1.2,1.5,0.7,6.5,6.0,5.6,5.9,20.8,0.6,0.4,2.6,3.3
Dwyane Wade,MIA,37,72,35,37,26.2,2.1,1.4,1.4,7.1,9.5,7.9,7.1,23.5,0.5,0.5,1.6,2.2
Dzanan Musa,BKN,20,9,4,5,4.4,0.0,0.0,0.0,1.6,0.7,0.6,0.9,4.0,0.0,0.1,0.1,0.1
E'Twaun Moore,NOP,30,53,21,32,27.6,1.6,1.5,2.1,5.8,9.5,8.2,9.7,29.9,0.2,0.5,2.1,1.0
Ed Davis,BKN,30,81,42,39,17.9,0.7,2.4,0.1,4.6,5.8,4.3,4.3,16.9,0.4,0.3,2.8,1.8
Edmond Sumner,IND,23,23,14,9,9.1,0.6,0.4,0.4,1.1,3.7,3.4,2.7,8.7,0.2,0.2,1.1,0.8
Ekpe Udoh,UTA,32,51,35,16,6.3,0.3,0.6,0.1,2.0,2.2,1.7,1.6,7.3,0.6,0.1,0.7,0.5
Elfrid Payton,NOP,25,42,18,24,29.8,1.6,1.2,1.5,6.7,10.8,8.1,11.2,34.0,0.4,1.1,1.9,1.8
Elie Okobo,PHX,21,53,7,46,18.1,0.9,0.3,0.8,2.4,6.6,6.1,5.2,19.7,0.1,0.2,2.1,0.8
Emanuel Terry,MIA,22,3,0,3,7.6,1.7,1.0,0.3,2.7,6.0,2.3,2.0,8.7,0.0,0.3,1.3,1.0
Emmanuel Mudiay,NYK,23,59,13,46,27.2,2.1,1.3,2.0,6.6,10.0,8.0,7.7,29.6,0.3,0.9,1.7,2.4
Enes Kanter,POR,27,67,28,39,24.5,1.5,4.2,0.7,10.5,8.1,6.4,6.9,26.3,0.4,0.9,2.5,3.0
Eric Bledsoe,MIL,29,78,59,19,29.1,3.2,1.2,3.4,8.3,8.4,7.4,6.2,25.6,0.4,0.6,2.0,2.9
Eric Gordon,HOU,30,68,44,24,31.7,2.2,1.4,1.9,4.7,9.7,8.7,8.7,33.9,0.4,1.0,2.1,1.9
Eric Moreland,TOR,27,5,3,2,8.6,0.4,0.4,0.0,0.8,4.8,2.8,3.4,9.2,0.2,0.2,1.8,0.0
Ersan Ilyasova,MIL,32,67,49,18,18.4,0.9,1.4,0.9,2.8,5.6,4.3,4.2,15.9,0.3,0.3,2.6,1.7
Evan Fournier,ORL,26,81,42,39,31.5,2.1,1.1,1.7,5.9,9.7,7.0,9.2,32.5,0.1,0.6,2.8,2.1
Evan Turner,POR,30,73,47,26,22.0,0.6,0.8,0.4,3.7,6.6,6.3,6.4,20.7,0.2,0.4,1.5,1.5
Frank Jackson,NOP,21,61,22,39,19.2,1.2,0.5,1.8,4.1,7.5,5.4,6.5,21.3,0.0,0.4,1.5,1.1
Frank Kaminsky,CHA,26,47,22,25,16.1,1.2,0.9,0.5,3.6,4.1,3.9,3.9,15.8,0.3,0.3,1.4,1.7
Frank Mason,SAC,25,38,16,22,11.5,0.7,0.4,1.1,2.4,3.7,3.3,3.6,12.2,0.1,0.3,0.9,1.3
Frank Ntilikina,NYK,20,43,9,34,21.0,0.7,0.3,0.4,2.0,6.9,6.7,4.6,22.2,0.3,0.2,2.4,0.9
Fred VanVleet,TOR,25,64,46,18,27.5,1.5,1.0,2.1,3.1,9.0,6.9,7.0,26.7,0.3,0.6,1.7,1.8
Furkan Korkmaz,PHI,21,48,30,18,14.2,1.3,0.7,1.1,1.9,4.7,2.9,3.6,14.0,0.0,0.2,1.3,0.9
Garrett Temple,LAC,33,75,37,38,27.2,1.9,0.4,1.9,2.6,9.8,6.4,8.4,24.8,0.4,0.3,2.7,1.5
Gary Clark,HOU,24,51,33,18,12.6,0.4,0.5,0.2,0.4,4.7,4.4,3.2,14.3,0.5,0.1,0.9,0.4
Gary Harris,DEN,24,57,38,19,28.8,2.1,1.4,1.9,5.8,9.8,7.1,7.8,29.5,0.3,0.7,2.0,2.1
Gary Payton II,WAS,26,3,2,1,5.3,0.7,0.0,1.3,2.7,0.0,1.0,0.0,3.3,0.3,0.0,0.7,0.0
Gary Trent Jr.,POR,20,15,14,1,7.4,0.4,0.2,0.0,0.5,3.4,2.4,2.3,7.9,0.1,0.1,0.3,0.5
